City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
432,Bereznik,RU,62.74,light rain,62.8551,42.7072,coastal Hotel
436,Vestmannaeyjar,IS,51.26,overcast clouds,63.4427,-20.2734,Glamping & Camping
438,Binga,ZW,62.98,clear sky,-17.6203,27.3414,Lakeview Inn Binga
441,San Quintin,MX,74.97,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
442,Vuktyl,RU,63.19,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
443,Sirvintos,LT,58.24,few clouds,55.05,24.95,Lelija
444,Lasa,IT,68.88,clear sky,46.6166,10.7002,Pension Feldgärtenhof
445,Kichera,RU,51.71,broken clouds,55.9375,110.0997,
446,Apricena,IT,73.22,clear sky,41.7839,15.4437,Bed & Breakfast CORSO ROMA
447,Sorland,NO,55.26,few clouds,67.667,12.6934,Sjybrygga fiskecamp
448,Nyurba,RU,54.75,scattered clouds,63.2842,118.3319,"Гостиница ""Comfort"""
449,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
450,Santos Dumont,BR,73.11,few clouds,-21.4567,-43.5525,Country Hotel e Leiteria São Luiz
452,Khor,RU,65.39,overcast clouds,47.8861,134.9464,Gostinitsa Deksi
455,Vostok,RU,60.85,overcast clouds,46.4856,135.8833,
456,Lisala,CD,74.71,broken clouds,2.15,21.5167,Guest house Eden
458,Nkoteng,CM,68.88,light rain,4.5167,12.0333,Résidence OOCLO-Cannelle
460,Kamaishi,JP,71.22,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
461,Bridlington,GB,67.93,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
462,Nelson Bay,AU,53.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
463,Rocha,UY,72.86,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
464,Grindavik,IS,52.27,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
465,Sereflikochisar,TR,70.66,scattered clouds,38.9393,33.5386,Yıldırım Hotel
468,Sioux Lookout,CA,73.47,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
470,Staryy Nadym,RU,54.14,clear sky,65.6118,72.6842,
472,Lesnoy,RU,69.46,overcast clouds,57.6198,63.0784,Apartamenty Na Sovetskoy
476,Kyshtovka,RU,65.16,scattered clouds,56.555,76.6271,Uyutnaya Mini-Hotel
