City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
119,Upernavik,72.7868,-56.1549,40.06,93,43,6.89,scattered clouds
120,Dikson,73.5069,80.5464,34.74,99,100,10.58,light snow
121,Bima,-8.4667,118.7167,84.27,53,34,6.64,scattered clouds
122,Atuona,-9.8,-139.0333,77.76,76,23,18.61,few clouds
123,Bredasdorp,-34.5322,20.0403,51.3,88,100,3.13,overcast clouds
124,Koplik,42.2136,19.4364,76.6,43,100,3.42,overcast clouds
125,Labuhan,-6.8844,112.2051,84.81,58,36,1.54,scattered clouds
126,Manzanillo,20.3433,-77.1167,74.66,87,4,1.86,clear sky
127,Iqaluit,63.7506,-68.5145,40.73,86,100,3.44,overcast clouds
128,Miandoab,36.9694,46.1027,79.18,33,26,8.63,scattered clouds
129,Sosnovo-Ozerskoye,52.5249,111.5418,76.57,25,96,8.61,overcast clouds
130,Waipawa,-41.4122,175.5153,54.39,89,8,6.4,clear sky
131,Port Augusta,-32.5,137.7667,57.4,50,100,12.5,overcast clouds
132,Yankton,42.8711,-97.3973,69.12,100,0,6.91,clear sky
133,Nara,34.6851,135.8049,88.5,44,100,7.78,overcast clouds
134,Cape Town,-33.9258,18.4232,59.92,83,0,5.01,clear sky
135,Yellowknife,62.456,-114.3525,66.72,48,20,4.61,few clouds
136,Altamira,-3.2033,-52.2064,73.26,87,100,2.66,overcast clouds
137,Jacareacanga,-6.2222,-57.7528,74.28,75,68,1.92,broken clouds
138,Ludvika,60.1496,15.1878,55.2,85,100,3.44,overcast clouds
139,Aksarka,66.5606,67.7975,80.04,49,100,9.6,overcast clouds
140,Luderitz,-26.6481,15.1594,63.12,41,0,4.03,clear sky
141,San Rafael,-34.6177,-68.3301,40.15,45,100,1.23,overcast clouds
142,Namatanai,-3.6667,152.4333,82.24,74,91,11.63,light rain
143,Kondinskoye,59.6481,67.41,79.59,36,0,4.9,clear sky
144,San Quintin,30.4833,-115.95,64.67,89,1,7.92,clear sky
145,Lorengau,-2.0226,147.2712,81.77,79,85,12.33,overcast clouds
146,Kodiak,57.79,-152.4072,53.11,94,100,10.36,light rain
147,Nikolskoye,59.7035,30.7861,70.72,51,90,7.14,overcast clouds
148,Kristiansund,63.1115,7.732,54.25,76,75,14.97,broken clouds
149,San Alberto,7.7611,-73.3922,73.89,88,64,2.95,broken clouds
150,Karratha,-20.7377,116.8463,76.35,16,0,11.81,clear sky
151,Morden,49.1919,-98.1014,60.66,82,6,4.61,clear sky
152,Saint George,37.1041,-113.5841,86.59,25,0,0.0,clear sky
153,Asau,46.4333,26.4,67.28,46,99,7.27,overcast clouds
154,Panalingaan,8.7842,117.4231,83.93,75,94,7.25,overcast clouds
155,Severo-Kurilsk,50.6789,156.125,56.21,85,48,10.51,scattered clouds
156,Balgazyn,51.0,95.2,76.96,28,21,8.52,few clouds
157,Kurayoshi,35.4333,133.8167,84.11,90,100,3.31,light rain
158,Westport,41.1415,-73.3579,66.18,93,0,0.0,clear sky
159,Zhuhai,22.2769,113.5678,91.18,84,20,8.05,few clouds
160,Santa Isabel,-23.3156,-46.2214,56.5,78,84,1.74,broken clouds
161,Santa Maria,-29.6842,-53.8069,61.75,98,100,3.74,light rain
162,Arlit,18.7369,7.3853,92.3,11,3,12.44,clear sky
163,Nayoro,44.3506,142.4578,82.74,56,6,2.91,clear sky
164,Ngunguru,-35.6167,174.5,63.55,89,33,14.56,scattered clouds
165,Natalinsk,56.4739,57.8698,76.89,53,9,2.3,clear sky
166,Bubaque,11.2833,-15.8333,80.17,81,100,9.91,light rain
167,Nevsehir,38.9167,34.6667,70.81,49,0,2.3,clear sky
168,Shitanjing,39.2342,106.3439,92.55,11,35,10.2,scattered clouds
