City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
126,Shache,CN,38.4167,77.2406,78.71,26,100,6.22,overcast clouds
127,Junin,AR,-34.5838,-60.9433,68.34,29,0,16.44,clear sky
128,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,69,0,21.85,clear sky
129,Llanes,ES,43.4198,-4.7549,70.9,80,0,9.73,clear sky
130,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,76.93,33,74,9.55,broken clouds
131,Gasa,PS,31.5,34.4667,78.87,72,8,7.47,clear sky
132,Pevek,RU,69.7008,170.3133,32.45,87,100,4.38,overcast clouds
133,Chaiyaphum,TH,15.75,102.0,80.8,93,99,8.72,overcast clouds
134,Oga,IT,46.4631,10.347,61.48,63,4,6.22,clear sky
135,Bluff,NZ,-46.6,168.3333,32.81,79,80,14.92,broken clouds
136,San Luis,AR,-33.295,-66.3356,57.34,22,79,22.1,broken clouds
137,Oneonta,US,42.4529,-75.0638,82.29,48,35,4.74,scattered clouds
138,Seybaplaya,MX,19.65,-90.6667,90.86,56,100,10.85,overcast clouds
139,Havelock,US,34.8791,-76.9013,82.38,91,100,12.66,overcast clouds
140,Vagay,RU,57.9375,69.0217,67.05,91,59,1.88,broken clouds
141,Chuy,UY,-33.6971,-53.4616,72.59,72,61,9.95,broken clouds
142,Tlalchapa,MX,18.4,-100.4667,88.63,52,4,2.55,clear sky
143,Yumen,CN,40.2833,97.2,74.21,44,85,8.28,overcast clouds
144,North Bend,US,43.4065,-124.2243,80.24,73,0,13.8,clear sky
145,Tottori,JP,35.5,134.2333,75.34,89,100,4.79,overcast clouds
146,Asilah,MA,35.465,-6.0348,87.76,37,5,18.21,clear sky
147,Hazorasp,UZ,41.3194,61.0742,73.24,27,0,18.07,clear sky
148,Polunochnoye,RU,60.8697,60.4153,64.26,68,78,3.62,broken clouds
149,Ahipara,NZ,-35.1667,173.1667,56.53,87,100,6.2,overcast clouds
150,Belmonte,BR,-15.8631,-38.8828,76.23,68,10,9.28,clear sky
151,Yoichi,JP,43.2039,140.7703,68.13,93,97,0.69,overcast clouds
152,Port Lincoln,AU,-34.7333,135.8667,54.28,48,100,17.11,overcast clouds
153,Sabang,ID,5.8933,95.3214,82.62,81,100,27.13,overcast clouds
154,College,US,64.8569,-147.8028,64.35,91,75,4.61,smoke
155,Yei,SS,4.095,30.6779,67.33,84,65,3.09,broken clouds
156,Dikson,RU,73.5069,80.5464,37.89,90,100,5.21,overcast clouds
157,Iwanai,JP,42.9744,140.5089,66.38,97,100,0.11,overcast clouds
158,Namatanai,PG,-3.6667,152.4333,78.12,78,70,5.61,broken clouds
159,Mahebourg,MU,-20.4081,57.7,70.25,68,40,17.27,scattered clouds
160,Namibe,AO,-15.1961,12.1522,64.13,85,0,2.62,clear sky
161,Haskovo,BG,41.9403,25.5694,68.34,57,99,7.52,light rain
162,Khasan,RU,42.4308,130.6434,65.28,99,100,1.57,overcast clouds
163,Parnarama,BR,-5.6817,-43.0933,89.2,41,31,6.76,scattered clouds
164,Zaysan,KZ,47.4667,84.8667,64.53,49,29,7.74,scattered clouds
165,Hualmay,PE,-11.0964,-77.6139,66.85,72,26,10.94,scattered clouds
166,Zhigansk,RU,66.7697,123.3711,55.33,67,9,7.72,clear sky
167,Tornio,FI,65.8481,24.1466,64.42,90,94,2.98,overcast clouds
168,Saint George,US,37.1041,-113.5841,105.64,11,0,10.36,clear sky
169,Inhambane,MZ,-23.865,35.3833,69.93,71,0,13.49,clear sky
170,Lander,US,42.833,-108.7307,86.81,22,0,4.61,clear sky
171,Chulym,RU,55.0997,80.9572,65.7,82,36,4.81,scattered clouds
172,Beyneu,KZ,45.3167,55.2,87.46,21,0,9.17,clear sky
173,Yaan,NG,7.3833,8.5667,74.61,91,68,4.59,broken clouds
174,Ormara,PK,25.2088,64.6357,82.96,85,74,9.1,broken clouds
175,Ambon,ID,-3.6954,128.1814,79.23,14,100,15.7,light rain
176,Kahului,US,20.8947,-156.47,82.42,65,20,23.02,few clouds
177,Nanortalik,GL,60.1432,-45.2371,43.27,85,65,6.24,broken clouds
178,Hamilton,US,39.1834,-84.5333,87.75,55,20,9.22,few clouds
179,Nhulunbuy,AU,-12.2333,136.7667,68.61,83,81,5.75,broken clouds
180,Carnarvon,AU,-24.8667,113.6333,61.3,60,0,18.63,clear sky
181,Meulaboh,ID,4.1363,96.1285,76.98,88,100,2.95,overcast clouds
182,Cap Malheureux,MU,-19.9842,57.6142,70.47,67,100,10.0,overcast clouds
183,Fort Myers Beach,US,26.452,-81.9481,94.05,67,20,8.05,few clouds
184,Marzuq,YE,14.4,46.4667,79.34,35,100,12.35,overcast clouds
185,Saint Anthony,US,45.0205,-93.218,87.69,70,20,11.5,thunderstorm
186,Kununurra,AU,-15.7667,128.7333,55.38,54,9,8.05,clear sky
187,Padilla,CO,3.2204,-76.3139,81.97,59,54,1.86,broken clouds
188,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,73,100,14.97,overcast clouds
189,San Gabriel,US,34.0961,-118.1058,98.71,43,0,6.91,clear sky
190,Poronaysk,RU,49.2167,143.1167,57.25,76,100,2.68,overcast clouds
191,Beringovskiy,RU,63.05,179.3167,45.19,87,100,15.46,light rain
192,Paamiut,GL,61.994,-49.6678,39.15,93,28,21.88,scattered clouds
193,Provideniya,RU,64.3833,-173.3,48.99,90,100,4.88,overcast clouds
194,Asau,RO,46.4333,26.4,61.72,91,82,4.36,broken clouds
195,Severnyy,RU,50.677,36.5532,69.84,68,0,8.95,clear sky
196,Cedar City,US,37.6775,-113.0619,93.4,14,0,8.05,clear sky
197,Caramay,PH,10.1815,119.236,78.06,86,100,3.49,moderate rain
198,Cidreira,BR,-30.1811,-50.2056,66.2,82,100,8.93,overcast clouds
199,Kaoma,ZM,-14.7833,24.8,59.59,50,10,4.54,clear sky
200,Chernyshevskiy,RU,63.0128,112.4714,53.31,57,24,2.82,few clouds
201,Concarneau,FR,47.875,-3.9225,82.69,49,39,6.87,scattered clouds
202,Puerto Ayacucho,VE,5.6639,-67.6236,84.22,75,62,1.32,broken clouds
203,Senanga,ZM,-16.1167,23.2667,62.71,42,0,3.98,clear sky
204,Ntcheu,MW,-14.8203,34.6359,60.78,53,63,0.65,broken clouds
205,Awjilah,LY,29.1081,21.2869,84.24,40,0,20.62,clear sky
206,Richmond,US,37.5538,-77.4603,73.38,84,100,11.5,overcast clouds
207,Evensk,RU,61.95,159.2333,59.02,65,7,1.68,clear sky
208,Nauta,PE,-4.5061,-73.5757,78.71,93,100,4.21,overcast clouds
209,Port-Cartier,CA,50.0334,-66.8654,64.62,49,100,10.36,overcast clouds
210,Alice Springs,AU,-23.7,133.8833,27.95,80,0,4.61,clear sky
211,Paagahan,PH,14.4447,121.401,82.74,92,17,2.55,few clouds
212,Torbat-E Jam,IR,35.244,60.6225,78.26,18,0,10.89,clear sky
213,Agadez,NE,19.75,10.25,94.06,15,7,5.66,clear sky
214,Turochak,RU,52.2576,87.1224,56.53,76,0,1.86,clear sky
215,Bratsk,RU,56.1325,101.6142,55.89,67,87,2.95,overcast clouds
216,Fukuroi,JP,34.75,137.9167,74.39,85,0,2.42,clear sky
217,Hun,LY,29.1268,15.9477,88.81,28,0,8.77,clear sky
218,Nautanwa,IN,27.4333,83.4167,86.41,64,50,6.42,scattered clouds
219,Yola,NG,9.2,12.4833,79.36,71,37,7.56,scattered clouds
220,Qaqortoq,GL,60.7167,-46.0333,44.65,81,26,6.11,scattered clouds
221,Lascahobas,HT,18.8294,-71.9364,89.24,41,100,2.46,overcast clouds
222,Kollegal,IN,12.15,77.1167,70.03,87,100,10.63,overcast clouds
223,Hofn,IS,64.2539,-15.2082,50.52,99,100,10.67,overcast clouds
224,Nanakuli,US,21.3906,-158.1547,84.15,57,20,8.05,few clouds
225,Victoria,HK,22.2855,114.1577,87.19,85,70,4.0,broken clouds
226,Sukhobezvodnoye,RU,57.0491,44.8891,66.47,90,67,4.36,light rain
227,Bulembu,SZ,-25.9667,31.1333,59.99,53,0,4.43,clear sky
228,Hambantota,LK,6.1241,81.1185,80.89,79,100,19.39,light rain
229,Nikolskoye,RU,59.7035,30.7861,63.79,98,38,3.44,scattered clouds
230,Port Blair,IN,11.6667,92.75,80.64,89,100,6.91,thunderstorm with light rain
231,Namie,JP,37.4833,141.0,75.72,96,75,3.89,broken clouds
232,Laguna,US,38.421,-121.4238,93.09,34,0,8.05,clear sky
233,Pangnirtung,CA,66.1451,-65.7125,50.0,81,20,10.36,few clouds
234,Punta De Piedra,VE,7.6176,-71.4916,83.91,70,98,5.23,overcast clouds
235,Escanaba,US,45.7453,-87.0646,84.51,67,0,14.0,clear sky
236,Bondo,CD,3.8146,23.6866,70.93,93,86,1.79,overcast clouds
237,Turan,VN,16.0678,108.2208,78.78,89,75,1.14,broken clouds
238,Jalu,LY,29.0331,21.5482,85.5,38,0,19.22,clear sky
239,Kushiro,JP,42.975,144.3747,60.21,99,100,10.42,overcast clouds
240,Alpena,US,45.0617,-83.4327,82.72,36,0,8.05,clear sky
241,Rock Sound,BS,24.9,-76.2,83.52,74,3,12.59,clear sky
242,Thunder Bay,CA,48.4001,-89.3168,78.78,65,100,9.22,overcast clouds
243,San Jose,US,37.3394,-121.895,91.92,44,0,5.75,clear sky
244,Dehloran,IR,32.6941,47.2679,100.15,13,0,7.9,clear sky
245,Hermiston,US,45.8404,-119.2895,83.64,33,0,8.05,clear sky
246,Imaculada,BR,-7.3897,-37.5092,75.51,56,72,9.84,broken clouds
247,Dingle,PH,10.9995,122.6711,76.55,93,98,5.01,overcast clouds
248,Aykhal,RU,66.0,111.5,60.12,52,100,6.35,overcast clouds
249,Djibo,BF,14.1022,-1.6306,83.52,60,100,12.62,moderate rain
250,Bandar-E Anzali,IR,37.4727,49.4622,75.31,63,0,3.22,clear sky
251,Isangel,VU,-19.55,169.2667,76.03,87,11,8.16,few clouds
252,Fairbanks,US,64.8378,-147.7164,64.36,91,100,4.61,smoke
253,Erzin,TR,36.9559,36.2,73.65,89,35,4.18,scattered clouds
254,Richards Bay,ZA,-28.783,32.0377,65.62,60,0,4.07,clear sky
255,La Sarre,CA,48.8002,-79.1996,75.04,49,100,10.2,overcast clouds
256,Sept-Iles,CA,50.2001,-66.3821,64.92,75,75,4.61,broken clouds
257,Fukue,JP,32.6881,128.8419,78.85,85,67,6.31,broken clouds
258,Bethel,US,41.3712,-73.414,84.63,42,0,5.75,clear sky
259,Motozintla,MX,15.3667,-92.2333,77.47,64,39,2.37,scattered clouds
260,Cayenne,GF,4.9333,-52.3333,84.09,1,100,2.3,overcast clouds
261,Kavieng,PG,-2.5744,150.7967,81.3,78,44,11.18,light rain
262,Vologda,RU,59.2187,39.8886,60.1,93,97,6.51,moderate rain
263,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,0,16.11,clear sky
264,Cardston,CA,49.2,-113.3019,70.09,35,46,10.36,scattered clouds
265,Broome,US,42.2506,-75.833,81.46,40,0,3.0,clear sky
266,Rio Gallegos,AR,-51.6226,-69.2181,30.25,74,0,3.44,clear sky
267,Lumphat,KH,13.4878,106.9816,73.4,99,100,3.36,overcast clouds
268,Maceio,BR,-9.6658,-35.7353,78.24,69,40,13.8,scattered clouds
269,Moses Lake,US,47.1301,-119.2781,81.28,29,0,13.8,clear sky
270,Calvinia,ZA,-31.4707,19.776,45.66,95,16,5.82,few clouds
271,Huarmey,PE,-10.0681,-78.1522,68.43,71,47,11.12,scattered clouds
272,Coihaique,CL,-45.5752,-72.0662,31.95,74,75,3.44,broken clouds
273,San Patricio,US,28.017,-97.5169,101.12,30,7,5.08,clear sky
274,Takoradi,GH,4.8845,-1.7554,75.96,83,17,8.9,few clouds
275,Talnakh,RU,69.4865,88.3972,51.21,60,26,5.5,scattered clouds
276,Port Hedland,AU,-20.3167,118.5667,51.85,58,5,5.75,clear sky
277,Dudinka,RU,69.4058,86.1778,51.62,64,22,7.99,few clouds
278,Aklavik,CA,68.2191,-135.0107,55.4,94,100,8.05,overcast clouds
279,Mumford,GH,5.2618,-0.759,75.69,86,99,10.29,overcast clouds
280,Luderitz,NA,-26.6481,15.1594,57.09,76,0,14.23,clear sky
281,Henties Bay,NA,-22.116,14.2845,55.9,87,0,11.43,clear sky
282,Hervey Bay,AU,-25.2986,152.8535,55.2,83,2,13.82,clear sky
283,Ngunguru,NZ,-35.6167,174.5,60.51,71,100,6.38,light rain
284,Saint-Pierre,RE,-21.3393,55.4781,69.91,72,0,6.91,clear sky
285,Lukiv,UA,51.0521,25.4006,59.18,82,100,9.51,overcast clouds
286,Gambiran,ID,-6.7988,111.4951,73.31,87,18,4.79,few clouds
287,Gisborne,NZ,-38.6533,178.0042,51.67,84,100,5.7,heavy intensity rain
288,Krasnoselkup,RU,65.7,82.4667,58.41,65,100,2.57,overcast clouds
289,Sungaipenuh,ID,-2.0833,101.3833,63.72,97,97,2.68,overcast clouds
290,Caravelas,BR,-17.7125,-39.2481,76.06,64,5,6.38,clear sky
